team,name,position,matches,goals,assists,status
Real Sociedad,O. Steinn Oskarsson,M,0,0,0,Injured
Real Sociedad,Aritz Elustondo,D,0,0,0,Injured
Sevilla,Chidera Ejuke,F,0,0,0,Injured
Sevilla,Orjan Nyland,G,0,0,0,Injured
Sevilla,T. Nianzou Kouassi,D,0,0,0,Injured
Sevilla,S. Idumbo Muzambo,M,0,0,0,Injured
Valencia,Maximiliano Caufriez,D,0,0,0, Injured
Valencia,Mouctar Diakhaby,D,0,0,0,Injured
Valencia,Ruben Iranzo,D,0,0,0,Injured
Valencia,Thierry Correia ,D,0,0,0,Injured
Villarreal,llis Akhomach,M,0,0,0,Injured
Villarreal,Nicolas Pepe,F,0,0,0,Injured
Villarreal,Juan Foyth,D,0,0,0,Injured
Villarreal,Alfonso Pedraza,M,0,0,0, Injured
Villarreal,Ayoze Perez,F,0,0,0,Injured
Villarreal,Ramon Terrats,M,0,0,0,Injured
team,name,position,matches,goals,assists,status
Milan,Luka Jovic,F,0,0,0,Doubtful
Milan,Ismael Bennacer,M,0,0,0,Injured
Milan,Alessandro Florenzi,M,0,0,0,Injured
Atalanta,Gianluca Scamacca,F,0,0,0,Injured
Atalanta,Davide Zappacosta,M,0,0,0,Injured
Bologna,Tommaso Pobega,M,0,0,0,Suspended
Bologna,Michel Aebischer,M,0,0,0,Injured
Bologna,Oussama Azzouzi ,M,0,0,0,Injured
Como,Ali Jasim,M,0,0,0,Injured
Como,Maximo Perrone ,M,0,0,0,Injured
Como,Sergio Roberto ,M,0,0,0,Injured
Como,Alberto Dossena ,M,0,0,0,Suspended
Empoli,Saba Sazonov,D,0,0,0,Injured
Empoli,Szymon Zurkowski,M,0,0,0,Injured
Empoli,Tyronne Ebuehi,D,0,0,0,Injured
Empoli,Jacopo Fazzini ,M,0,0,0,Injured
Empoli,Mattia De Sciglio ,D,0,0,0,Injured
Empoli,Nicolas Haas,M,0,0,0,Injured
Fiorentina,L. Martinez Quarta,D,0,0,0,Injured
Fiorentina,Amir Richardson ,M,0,0,0,Injured
Genoa,Ruslan Malinovskyi,M,0,0,0, Injured
Genoa,David Ankeye,M,0,0,0,Injured
Genoa,Caleb Ekuban,F,0,0,0,Injured
Genoa,Koni De Winter,D,0,0,0,Injured
Hellas Verona,Martin Frese,F,0,0,0,Injured
Hellas Verona,Ondrej Duda ,M,0,0,0,Injured
Hellas Verona,Juan Manuel Cruz,F,0,0,0,Injured
Inter ,Benjamin Pavard,D,0,0,0,Injured
Juventus,Arkadiusz Milik ,F,0,0,0,Injured
Juventus,Nicolas Gonzalez,F,0,0,0,Injured
Juventus,Bremer,D,0,0,0,Injured
Juventus,Nicolo Savona,M,0,0,0,Injured
Juventus,Juan Cabal,M,0,0,0,Injured
Juventus,vasilije Adzic,M,0,0,0,Injured
Juventus,Douglas Luiz,M,0,0,0,Injured
Lazio, Nuno Tavares,D,0,0,0,Injured
Lazio, Gaetano Castrovilli,M,0,0,0,Injured
Lazio, Boulaye Dia,F,0,0,0,Injured
Lazio, Matias Vecino,M,0,0,0,Injured
Lecce,Kevin Bonifazi,D,0,0,0,Doubtful
Lecce,Medon Berisha,M,0,0,0,Doubtful
Lecce,R. Catalin Burnete ,F,0,0,0,Doubtful
Lecce,Lameck Banda,F,0,0,0,Injured
Lecce,Balthazar Pierret,M,0,0,0,Injured
SS Monza 1912,Armando Izzo,D,0,0,0,Suspended
SS Monza 1912,Roberto Gagliardini,M,0,0,0,Doubtful
SS Monza 1912,Matteo Pessina,M,0,0,0,Injured
SS Monza 1912,Alessio Cragno,G,0,0,0,Injured
Parma Calcio,Alessandro Circati,D,0,0,0,Injured
Parma Calcio,Mateusz Kowalski,M,0,0,0,Injured
Parma Calcio,Adrian Bernabe,D,0,0,0,Injured
Parma Calcio,Yordan Osorio,D,0,0,0,Injured
Roma,Mario Hermoso,D,0,0,0,Doubtful
Roma,Eldor Shomurodov,F,0,0,0,Injured
Roma,Niccolo Pisilli,M,0,0,0,Suspended
Napoli,Pasquale Mazzocchi,D,0,0,0,Injured
Torino,Duván Zapata,F,0,0,0,Injured
Torino,Ivan IIic ,M,0,0,0,Injured
Torino,Perr Schuurs,D,0,0,0,Injured
Udinese,Jaka Bijol,M,0,0,0,Suspended
Udinese,Martin Payero,M,0,0,0,Injured
Udinese,Alexis Sanchez,F,0,0,0,Injured
Venezia,Francesco Zampano,D,0,0,0,Injured
team,name,position,matches,goals,assists,status
Augsburg,Keven Schlotterbeck,D,0,0,0,Suspended
Augsburg,Robert Gumny,D,0,0,0,Injured
Augsburg,Mads Pedersen,D,0,0,0,Injured
Augsburg,Fredric Jensen,M,0,0,0,Injured
Augsburg,Dimitrios Giannoulis,D,0,0,0,Injured
Augsburg,Reece Oxford,D,0,0,0,Injured
Augsburg,Tim Breithaupt,M,0,0,0,Injured
Leverkusen,Amine Adli,F,0,0,0,Injured
Leverkusen,Victor Boniface,F,0,0,0,Injured
Leverkusen,Martin Terrier,F,0,0,0,Injured
Leverkusen,Jonas Hofmann,M,0,0,0,Injured
B. Munich,Sven Ulreich ,G,0,0,0,Suspended
B. Munich,Aleksandar Pavlovic,M,0,0,0,Injured
B. Munich,Joan Palhinha,M,0,0,0,Injured
B. Munich,Josip Stanisic,D,0,0,0,Injured
B. Munich,Hiroki Ito,D,0,0,0,Injured
Bochum,Aliou Balde,F,0,0,0,Suspended
Bochum,Myron Boadu,F,0,0,0,Injured
Dortmund,Emre Can ,M,0,0,0,Suspended
Dortmund,Julian Brandt ,M,0,0,0,Injured
Dortmund,Karim Adeyemi,F,0,0,0,Injured
Mgladbach,Florian Neuhaus,M,0,0,0,Injured
Mgladbach,Luka Netz,D,0,0,0,Injured
Frankfurt,Aurele Amenda,M,0,0,0,Injured
Frankfurt,Sasa Kalajdzic,F,0,0,0,Injured
Frankfurt,Oscar Hojlund,M,0,0,0,Injured
Heidenheim,Thomas Keller,D,0,0,0,Injured
Heidenheim,Luka Janes,M,0,0,0,Injured
Heidenheim,Marnon Busch ,D,0,0,0,Injured
Heidenheim,Marvin Pieringer ,F,0,0,0,Injured
Heidenheim,Leo Scienza ,M,0,0,0,Injured
Heidenheim,Sirlord Conteh ,M,0,0,0,Injured
Heidenheim,Mathias Honsak,M,0,0,0,Injured
Heidenheim,Mikkel Kaufmann ,F,0,0,0,Injured
Freiburg,Eren Dinkci,F,0,0,0,Injured
